,X1,X2,X3,X4,X5,X12,X13
ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,BILL_AMT1,BILL_AMT2
1,20000,2,2,1,24,3913,3102
2,120000,2,2,2,26,2682,1725
3,90000,2,2,2,34,29239,14027
4,50000,2,2,1,37,46990,48233
5,50000,1,2,1,57,8617,5670
6,50000,1,1,2,37,64400,57069
8,100000,2,2,2,23,11876,380
9,140000,2,3,1,28,11285,14096
11,200000,2,3,2,34,11073,9787
12,260000,2,1,2,51,12261,21670
13,630000,2,2,2,41,12137,6500
14,70000,1,2,2,30,65802,67369
15,250000,1,1,2,29,70887,67060
16,50000,2,3,3,23,50614,29173
17,20000,1,1,2,24,15376,18010
18,320000,1,1,1,49,253286,246536
21,130000,2,3,2,39,38358,27688
22,120000,2,2,1,39,316,316
23,70000,2,2,2,26,41087,42445
24,450000,2,1,1,40,5512,19420
25,90000,1,1,2,23,4744,7070
26,50000,1,3,2,23,47620,41810
28,50000,2,3,2,30,22541,16138
29,50000,2,3,1,47,650,3415
30,50000,1,1,2,26,15329,16575
31,230000,2,1,2,27,16646,17265
32,50000,1,2,2,33,30518,29618
33,100000,1,1,2,32,93036,84071
34,500000,2,2,1,54,10929,4152
35,500000,1,1,1,58,13709,5006
38,60000,2,2,2,22,15054,9806
40,280000,1,1,2,31,498,9075
42,70000,2,1,2,25,67521,66999
43,10000,1,2,2,22,1877,3184
44,140000,2,2,1,37,59504,61544
45,40000,2,1,2,30,18927,21295
47,20000,2,1,2,22,14028,16484
48,150000,2,5,2,46,4463,3034
49,380000,1,2,2,32,22401,21540
50,20000,1,1,2,24,17447,18479
51,70000,1,3,2,42,37042,36171
52,100000,2,3,3,43,61559,51163
53,310000,2,2,1,49,13465,7867
54,180000,2,1,2,25,41402,41742
55,150000,2,1,2,29,46224,34993
56,500000,2,1,1,45,1905,3640
57,180000,2,3,1,34,16386,15793
59,200000,2,1,2,34,1587,1098
61,500000,2,3,1,28,22848,23638
62,70000,1,2,1,39,70800,72060
63,50000,1,1,2,29,24987,24300
64,50000,2,2,1,46,28718,29166
67,10000,1,2,1,56,2097,4193
68,210000,2,1,2,30,300,300
70,20000,1,5,2,22,18565,17204
72,320000,1,2,2,29,58267,59246
73,200000,2,2,1,32,9076,5787
75,340000,1,1,2,32,3048,5550
76,20000,1,2,2,24,14619,17216
77,50000,1,3,2,25,42838,37225
78,300000,2,1,1,45,291,291
79,30000,2,2,2,22,28387,29612
82,360000,2,1,2,26,23411,27796
83,60000,1,3,2,30,26324,27471
84,400000,2,2,1,44,131595,139060
85,50000,2,3,2,49,48909,47863
86,160000,1,2,2,33,130028,107808
87,360000,2,1,1,45,390,1170
88,160000,2,2,2,32,3826,4751
89,130000,2,1,1,35,81313,117866
90,20000,1,3,2,44,8583,8303
91,200000,1,1,1,53,138180,140774
94,160000,2,2,1,37,880,1602
95,60000,2,2,2,23,45648,46850
96,90000,1,2,2,35,83725,85996
97,360000,1,1,1,43,3967,8322
98,150000,1,1,2,27,86009,86108
99,50000,2,3,1,22,18722,18160
100,20000,1,2,1,38,17973,19367
101,140000,1,1,2,32,672,10212
103,480000,1,1,1,63,422069,431342
104,50000,2,3,2,22,44698,42254
105,60000,2,2,2,26,56685,55208
107,80000,2,2,1,36,6108,2861
108,350000,1,1,2,52,713,2272
109,130000,1,2,2,38,171438,178382
111,330000,2,1,1,31,105879,108431
112,50000,1,3,1,47,13244,14722
113,280000,1,2,1,41,135673,138532
114,100000,2,1,2,24,52128,52692
115,50000,1,2,2,41,19015,19294
116,30000,1,1,2,24,18199,17618
117,240000,1,1,2,28,326,326
118,80000,1,2,2,26,14029,15493
119,400000,1,2,1,34,19660,9666
120,240000,2,2,2,38,50254,51445
121,50000,1,3,2,37,46004,45976
125,20000,1,1,2,27,19115,18962
127,200000,1,3,2,52,110151,99530
129,50000,1,2,1,51,3347,3899
130,60000,1,3,1,55,60521,61450
131,30000,2,1,2,23,4000,5645
132,240000,1,1,2,41,95,2622
135,30000,2,2,2,22,28452,26145
136,240000,1,2,1,34,10674,12035
137,150000,1,1,2,27,17444,19342
138,210000,2,2,1,33,7166,7997
139,50000,2,3,1,51,752,300
140,50000,1,1,2,24,50801,50143
143,50000,1,2,2,23,10131,10833
144,170000,1,2,2,29,12159,10000
145,20000,1,1,2,29,1199,15586
146,50000,1,1,2,28,4999,5913
147,170000,2,2,2,27,19269,20313
149,80000,2,2,1,23,9168,10522
151,140000,1,2,1,32,86627,78142
152,80000,1,1,2,25,42444,55744
153,350000,1,1,2,41,208,2906
155,30000,2,3,2,26,9014,10406
156,140000,1,1,1,34,23944,28049
160,50000,1,3,1,57,12854,12362
161,30000,1,1,2,41,24357,27453
162,50000,1,2,2,27,390,390
163,290000,1,3,1,47,1234,396
164,250000,2,1,1,34,141223,156858
165,60000,2,2,1,46,21148,23803
166,110000,2,1,2,27,101640,104795
167,370000,1,1,2,50,6093,15130
168,100000,1,2,1,27,102349,96847
169,90000,2,2,1,35,72112,73854
170,50000,2,2,2,22,28040,29092
171,270000,1,2,2,37,37695,33397
172,300000,2,1,2,30,688,3280
173,50000,2,2,2,22,8567,15273
176,130000,1,3,1,56,64617,65978
177,80000,1,1,2,30,6187,100
178,50000,1,2,2,30,48860,47801
179,20000,2,2,2,22,16001,12622
180,80000,2,2,1,29,77883,81811
181,240000,1,1,2,37,12212,26578
182,80000,2,3,2,35,49608,12412
183,500000,2,1,1,47,56422,110616
184,60000,2,2,1,24,58024,57891
185,20000,1,2,2,25,10642,11677
186,100000,2,2,1,38,14483,13961
187,360000,2,1,2,32,2616,57077
190,20000,2,2,2,31,21703,21087
191,310000,1,1,2,32,59901,62147
192,60000,2,1,2,27,19625,20347
193,180000,2,1,2,29,11386,199
194,180000,2,1,2,24,14670,22087
195,50000,1,2,1,36,47790,18114
196,50000,2,1,2,24,36166,37188
198,20000,2,1,2,22,18553,19446
199,500000,2,1,1,34,412,138
202,140000,1,1,2,31,27123,27299
203,140000,2,1,2,26,13424,18000
204,120000,1,2,2,26,107314,110578
206,20000,1,3,1,43,227,20351
207,100000,1,1,1,47,390,1473
208,210000,2,2,1,41,3088,1586
209,80000,2,2,2,24,81625,81554
210,330000,2,1,1,50,8872,4337
211,220000,1,1,2,24,105607,108917
213,40000,2,3,1,43,38257,38901
214,30000,1,2,2,39,28347,28108
216,30000,1,3,1,42,390,390
218,80000,1,2,2,36,79278,78501
219,110000,2,3,0,31,89989,84229
220,310000,2,1,2,38,1424,4542
224,320000,2,2,2,33,91653,94037
225,50000,2,3,2,37,52626,51537
226,170000,2,1,2,28,130370,131199
227,350000,1,3,1,44,3265,2686
228,20000,1,2,1,37,16455,16511
229,50000,1,2,2,23,49758,48456
230,20000,2,3,2,24,19154,18165
231,50000,2,1,2,24,35084,35796
232,20000,1,2,2,23,20235,17132
234,190000,1,2,2,34,129801,131383
235,60000,2,2,1,33,58203,36367
236,80000,1,1,2,35,7988,3977
237,150000,2,2,2,27,127402,110050
239,240000,2,3,1,50,234205,231669
240,140000,2,2,3,41,19346,21708
241,60000,2,1,2,28,21501,20650
242,50000,1,1,2,39,47174,47974
243,50000,2,2,2,27,26655,27724
244,180000,2,1,2,32,3139,5853
245,30000,2,1,2,40,142,215
246,20000,2,2,2,40,19816,20396
247,250000,2,2,1,75,52874,1631
248,100000,2,2,2,27,37767,34457
249,330000,1,1,2,25,46140,45781
250,50000,1,3,1,46,35713,15392
251,50000,2,2,2,26,50867,51486
252,30000,1,2,2,28,29242,29507
253,140000,2,2,2,26,101551,105246
254,160000,2,1,2,28,70243,47779
255,400000,2,2,2,29,19532,3719
256,50000,1,2,1,25,27699,28513
257,140000,2,2,1,48,1154,1233
258,160000,2,2,1,33,8015,2453
260,220000,1,1,1,48,210380,213522
261,510000,2,1,2,29,78331,99414
262,50000,1,2,2,29,49276,35100
263,160000,2,1,1,38,4473,4664
264,230000,2,1,2,37,2283,50815
265,80000,2,1,2,37,10115,249
267,10000,1,3,2,23,6974,7838
268,130000,2,3,2,49,89003,91362
269,40000,2,1,2,48,34871,34449
270,50000,1,2,2,27,13694,14880
271,100000,1,3,2,32,70003,31545
272,120000,1,1,1,34,1082,632
274,200000,2,2,2,33,11253,12852
276,70000,2,2,2,36,68699,69120
277,460000,1,1,1,40,171,2715
278,50000,2,1,2,26,1156,316
279,50000,1,3,1,33,50859,50462
280,250000,2,2,1,31,103109,102594
281,30000,2,1,2,27,1512,2458
282,270000,1,2,1,44,127543,109189
283,180000,2,3,2,30,163935,153152
