b1r5,b6r1,b6r5a,b6r5b,b7r24,b7r25,b7r26a,b7r26b,jart,exp_cap
2,1,24,135,142333.333333333,872619.047619048,1,2,9,96957.671957672
2,6,54,500,290083.333333333,711369.047619048,1,2,3,237123.015873016
2,1,99,252,812833.333333333,1466404.76190476,1,3,4,366601.19047619
2,1,30,80,289150,1007007.14285714,1,3,5,201401.428571429
2,1,48,300,499708.333333333,846851.190476191,1,3,2,423425.595238095
2,1,83,300,235666.666666667,834809.523809524,1,3,4,208702.380952381
2,1,42,42,410416.666666667,1504130.95238095,3,2,6,250688.492063492
2,1,42,150,266250,907392.857142857,9,2,4,226848.214285714
2,6,20,360,152666.666666667,680238.095238095,3,1,3,226746.031746032
2,4,42,600,230833.333333333,888690.476190476,9,2,5,177738.095238095
2,1,63,300,380416.666666667,1196845.23809524,1,2,7,170977.891156463
2,1,56,403,405525,774096.428571429,7,2,3,258032.142857143
2,1,42,998,292383.333333333,1315383.33333333,1,2,4,328845.833333333
2,1,54,600,319750,1051750,1,2,5,210350
2,1,20,500,213750,705750,1,2,3,235250
2,1,30,600,190375,676375,7,2,4,169093.75
2,1,25,180,163416.666666667,715416.666666667,4,1,5,143083.333333333
2,1,35,126,153583.333333333,460011.904761905,1,2,3,153337.301587302
2,4,36,800,465833.333333333,1376547.61904762,1,1,7,196649.659863946
2,6,48,800,249166.666666667,857738.095238095,1,1,5,171547.619047619
2,1,120,800,502066.666666667,1384495.23809524,4,1,2,692247.619047619
2,1,42,800,428925,1609639.28571429,0,0,4,402409.821428571
2,1,64,800,365325,1236182.14285714,4,1,4,309045.535714286
2,1,108,240,354450,1269450,1,3,4,317362.5
2,1,96,525,539583.333333333,1017869.04761905,1,3,4,254467.261904762
2,5,35,180,275750,831178.571428571,13,1,3,277059.523809524
2,1,42,450,126350,979207.142857143,1,3,5,195841.428571429
2,1,58,600,207916.666666667,830630.952380952,1,3,3,276876.984126984
2,1,104,750,1016833.33333333,2923119.04761905,1,2,7,417588.43537415
2,1,60,240,636183.333333333,1260183.33333333,1,2,4,315045.833333333
1,1,70,70,920833.333333333,2028261.9047619,7,2,4,507065.476190476
1,3,35,35,362083.333333333,1544940.47619048,7,2,5,308988.095238095
1,1,45,330,686833.333333333,1548261.9047619,1,2,6,258043.650793651
1,1,32,45,94166.6666666667,558309.523809524,1,2,3,186103.174603175
1,5,60,998,967500,1627500,15,1,4,406875
2,1,30,60,360583.333333333,984154.761904762,1,1,4,246038.69047619
2,1,35,48,144500,621500,1,2,4,155375
2,1,94,180,212416.666666667,661559.523809524,3,1,5,132311.904761905
2,1,45,100,221583.333333333,807869.047619048,3,1,3,269289.682539683
2,1,74,432,379600,1250885.71428571,3,1,4,312721.428571429
2,1,50,296,387850,746564.285714286,3,1,4,186641.071428571
2,1,36,450,408583.333333333,1056583.33333333,3,1,4,264145.833333333
2,1,30,375,173250,406821.428571429,0,0,1,406821.428571429
2,3,42,150,271000,680714.285714286,1,2,3,226904.761904762
2,1,42,200,632833.333333333,1351976.19047619,1,2,7,193139.455782313
2,1,63,600,347000,943571.428571429,1,2,3,314523.80952381
2,1,48,378,702833.333333333,1931976.19047619,13,1,6,321996.031746032
2,1,30,72,358541.666666667,1006541.66666667,7,1,4,251635.416666667
2,1,63,330,195591.666666667,828163.095238095,1,2,3,276054.365079365
2,1,48,250,72400,294828.571428571,1,2,1,294828.571428571
2,1,35,210,392333.333333333,1282476.19047619,2,2,9,142497.354497355
2,1,30,450,295000,1018857.14285714,1,2,4,254714.285714286
2,1,30,220,343333.333333333,999904.761904762,1,2,4,249976.19047619
2,1,45,80,681416.666666667,1572416.66666667,12,1,6,262069.444444444
2,1,54,300,350666.666666667,2846238.0952381,9,2,7,406605.442176871
2,1,30,90,278625,873053.571428571,1,2,3,291017.857142857
2,1,72,195,348916.666666667,1017488.0952381,1,2,3,339162.698412698
2,1,48,495,247166.666666667,554452.380952381,7,2,2,277226.19047619
2,1,54,150,375350,1422350,1,2,4,355587.5
1,1,24,800,304675,805246.428571429,9,2,3,268415.476190476
1,1,30,78,946333.333333333,3024904.76190476,2,2,8,378113.095238095
2,1,54,325,471566.666666667,868423.809523809,6,1,4,217105.952380952
2,1,20,80,93416.6666666667,384845.238095238,1,2,2,192422.619047619
2,1,105,450,529325,950610.714285714,1,2,3,316870.238095238
2,1,20,250,155416.666666667,772559.523809524,1,2,5,154511.904761905
2,1,30,108,205858.333333333,1077572.61904762,1,2,4,269393.154761905
2,1,72,350,316083.333333333,1183940.47619048,7,3,3,394646.825396825
2,1,45,160,215000,974857.142857143,15,2,5,194971.428571429
2,1,20,30,138166.666666667,856023.809523809,7,1,5,171204.761904762
2,1,25,150,61116.6666666667,456688.095238095,1,2,3,152229.365079365
1,1,24,150,201583.333333333,499869.047619048,4,2,2,249934.523809524
1,1,54,200,472500,973928.571428571,0,0,3,324642.857142857
1,1,36,275,342625,628482.142857143,4,2,2,314241.071428571
1,6,24,200,746166.666666667,1450738.0952381,12,1,3,483579.365079365
1,1,42,250,376333.333333333,1132761.9047619,4,2,6,188793.650793651
1,1,49,75,322583.333333333,558297.619047619,7,2,1,558297.619047619
2,1,144,160,980466.666666667,1573180.95238095,9,2,3,524393.650793651
2,1,45,300,168750,751178.571428571,1,2,3,250392.857142857
1,1,48,120,305766.666666667,706052.380952381,0,0,2,353026.19047619
1,1,64,120,762666.666666667,1586809.52380952,2,2,2,793404.761904762
2,6,36,456,321641.666666667,1055355.95238095,1,2,3,351785.317460317
2,1,63,240,308916.666666667,696773.809523809,12,1,2,348386.904761905
2,1,18,418,260458.333333333,1200315.47619048,1,1,5,240063.095238095
2,1,24,180,325208.333333333,1377351.19047619,1,2,6,229558.531746032
2,1,60,154,265575,749860.714285714,6,1,2,374930.357142857
2,1,42,299,471775,1324632.14285714,6,1,4,331158.035714286
2,1,24,180,892083.333333333,1580797.61904762,9,2,3,526932.53968254
2,6,30,150,177500,410642.857142857,0,0,1,410642.857142857
2,1,60,110,481250,1391535.71428571,18,1,4,347883.928571429
2,1,30,300,253083.333333333,853083.333333333,1,2,3,284361.111111111
2,6,35,300,322375,814375,9,1,3,271458.333333333
2,1,20,96,212083.333333333,639369.047619048,1,3,2,319684.523809524
2,1,48,363,262875,1393446.42857143,1,2,4,348361.607142857
1,1,30,30,831083.333333333,2332797.61904762,8,3,5,466559.523809524
1,6,52,100,411250,2079678.57142857,2,3,5,415935.714285714
1,3,84,126,721750,1513321.42857143,13,1,2,756660.714285714
2,1,42,165,719500,1575357.14285714,7,1,6,262559.523809524
2,1,80,150,348208.333333333,1510494.04761905,1,2,6,251749.007936508
2,1,84,190,1218916.66666667,2925059.52380952,1,2,9,325006.613756614
2,1,140,420,2454916.66666667,3863630.95238095,13,1,6,643938.492063492
2,1,60,200,318833.333333333,623119.047619048,0,0,1,623119.047619048
2,6,24,100,903666.666666667,1526809.52380952,8,1,4,381702.380952381
2,3,42,120,500583.333333333,1176440.47619048,6,1,3,392146.825396825
2,1,42,360,335166.666666667,1584452.38095238,1,1,4,396113.095238095
2,1,36,100,289000,800285.714285714,1,2,3,266761.904761905
2,1,24,117,134166.666666667,573880.952380952,1,2,2,286940.476190476
2,1,30,150,237083.333333333,875226.190476191,1,2,4,218806.547619048
2,1,20,150,233750,1101178.57142857,6,1,4,275294.642857143
2,1,42,300,401250,1845535.71428571,9,1,11,167775.974025974
2,1,66,300,670416.666666667,1521130.95238095,7,1,8,190141.369047619
2,1,30,99,319583.333333333,876726.190476191,7,2,4,219181.547619048
1,4,22,100,112916.666666667,582202.380952381,2,2,3,194067.46031746
1,1,60,480,744666.666666667,1372523.80952381,9,1,2,686261.904761905
1,1,40,54,446433.333333333,1138147.61904762,15,1,3,379382.53968254
1,1,56,140,454708.333333333,1304565.47619048,1,2,4,326141.369047619
1,5,36,49,596666.666666667,1447380.95238095,13,1,3,482460.317460317
2,1,42,98,272583.333333333,1182869.04761905,2,2,4,295717.261904762
1,4,70,150,422708.333333333,948565.476190476,1,1,4,237141.369047619
1,1,30,100,155616.666666667,782616.666666667,1,1,4,195654.166666667
2,1,36,96,569250,1500107.14285714,7,2,5,300021.428571429
2,1,54,230,770500,1641785.71428571,3,1,3,547261.904761905
2,4,24,105,262383.333333333,938669.047619048,4,2,4,234667.261904762
2,6,42,230,134000,287000,15,0,1,287000
2,3,20,150,253750,1370178.57142857,6,1,6,228363.095238095
2,1,30,200,227208.333333333,795065.476190476,8,2,2,397532.738095238
2,1,16,150,255416.666666667,1911416.66666667,1,2,7,273059.523809524
1,4,56,72,228958.333333333,927101.190476191,16,1,3,309033.73015873
2,1,30,70,195666.666666667,931095.238095238,16,1,3,310365.079365079
2,1,45,70,191166.666666667,680595.238095238,2,2,3,226865.079365079
2,1,50,160,225625,898910.714285714,2,2,6,149818.452380952
2,1,35,240,211916.666666667,518345.238095238,4,2,2,259172.619047619
2,1,25,30,118750,569607.142857143,1,0,2,284803.571428571
2,1,30,63,177333.333333333,634190.476190476,1,1,4,158547.619047619
2,1,24,100,134333.333333333,285619.047619048,18,0,1,285619.047619048
2,1,28,120,95750,222178.571428571,16,0,1,222178.571428571
2,1,30,120,111666.666666667,438666.666666667,1,1,3,146222.222222222
1,1,60,506,3401750,4049750,6,2,2,2024875
